category,month,fake_prob,month_name,date
Overall_2017,1,0.16462276869841477,Jan,"Jan 1,2017"
Overall_2017,2,0.1617711616965096,Feb,"Feb 1,2017"
Overall_2017,3,0.16327420795560368,Mar,"Mar 1,2017"
Overall_2017,4,0.17732783655409107,Apr,"Apr 1,2017"
Overall_2017,5,0.15313395129091323,May,"May 1,2017"
Overall_2017,6,0.15288728838399637,Jun,"Jun 1,2017"
Overall_2017,7,0.17548041138556203,Jul,"Jul 1,2017"
Overall_2017,8,0.18662707886086888,Aug,"Aug 1,2017"
Overall_2017,9,0.17170542750269824,Sep,"Sep 1,2017"
Overall_2017,10,0.16344553556567656,Oct,"Oct 1,2017"
Overall_2017,11,0.14973628258164057,Nov,"Nov 1,2017"
Overall_2017,12,0.16429050970318107,Dec,"Dec 1,2017"
